id	iata	name	country	latitude	longitude
4047	LBA	Leeds Bradford Airport	United Kingdom	53.867943	-1.6615306
3004	HRT	RAF Linton-on-Ouse	United Kingdom	54.043	-1.2442803
29	ABE	Lehigh Valley International Airport	United States	40.651833	-75.441414
33	ABI	Abilene Regional Airport	United States	32.411896	-99.680046
36	ABL	Ambler Airport 	United States	67.10524	-157.85498
41	ABQ	Albuquerque International Sunport	United States	35.043335	-106.61291
42	ABR	Aberdeen Regional Airport	United States	45.453457	-98.417725
49	ABY	Southwest Georgia Regional Airport	United States	31.535671	-84.19391
59	ACK	Nantucket Memorial Airport	United States	41.25695	-70.06375
66	ACT	Waco Regional Airport	United States	31.61359	-97.22629
68	ACV	Arcata-Eureka Airport	United States	40.97092	-124.10658
70	ACY	Atlantic City International Airport	United States	39.455776	-74.57251
82	ADK	Adak Airport	United States	51.881317	-176.64822
88	ADQ	Kodiak Airport	United States	57.754326	-152.51695
110	AET	Allakaket Airport 	United States	66.54961	-152.62929
112	AEX	Alexandria International Airport	United States	31.327412	-92.54519
140	AGN	Angoon Seaplane Base	United States	57.496597	-134.5697
145	AGS	Augusta Regional Airport at Bush Field	United States	33.368855	-81.96577
169	AIA	Alliance Municipal Airport	United States	42.06191	-102.806984
180	AIN	Wainwright Airport 	United States	70.63772	-159.99707
211	AKK	Akhiok Airport	United States	56.93869	-154.18256
214	AKN	King Salmon Airport	United States	58.676666	-156.64917
216	AKP	Anaktuvuk Pass Airport	United States	68.13318	-151.74333
227	ALB	Albany International Airport	United States	42.74871	-73.8055
240	ALO	Waterloo Regional Airport	United States	42.555225	-92.397964
244	ALS	San Luis Valley Regional Airport	United States	37.443848	-105.86451
247	ALW	Walla Walla Regional Airport	United States	46.087276	-118.28449
250	ALZ	Alitak Seaplane Base	United States	56.899487	-154.24785
251	AMA	Rick Husband Amarillo International Airport	United States	35.220325	-101.70745
277	ANC	Ted Stevens Anchorage International Airport	United States	61.175888	-149.99008
282	ANI	Aniak Airport	United States	61.5808	-159.54259
294	ANV	Anvik Airport	United States	62.64841	-160.19019
312	AOO	Altoona–Blair County Airport	United States	40.295128	-78.323906
315	AOS	Amook Bay Seaplane Base 	United States	57.471493	-153.81535
320	APC	Napa County Airport	United States	38.217255	-122.273026
327	APN	Alpena County Regional Airport	United States	45.072197	-83.56359
351	ARC	Arctic Village Airport	United States	68.11444	-145.57916
368	ART	Watertown International Airport	United States	43.995663	-76.02236
378	ASE	Aspen–Pitkin County Airport 	United States	39.22002	-106.86452
409	ATK	Atqasuk Edward Burnell Sr. Memorial Airport	United States	70.46747	-157.432
410	ATL	Hartsfield–Jackson Atlanta International Airport	United States	33.640728	-84.427704
421	ATW	Appleton International Airport	United States	44.26029	-88.51119
423	ATY	Watertown Regional Airport	United States	44.92134	-97.16116
430	AUG	Augusta State Airport	United States	44.31882	-69.79554
442	AUS	Austin–Bergstrom International Airport	United States	30.197472	-97.66635
455	AVL	Asheville Regional Airport	United States	35.434895	-82.53786
458	AVP	Wilkes-Barre/Scranton International Airport	United States	41.337933	-75.72464
462	AVX	Catalina Airport	United States	33.404522	-118.41527
510	AZA	Phoenix–Mesa Gateway Airport 	United States	33.306534	-111.66255
517	AZO	Kalamazoo/Battle Creek International Airport	United States	42.23555	-85.55159
607	BDL	Bradley International Airport	United States	41.938873	-72.686035
613	BDR	Igor I. Sikorsky Memorial Airport	United States	41.16421	-73.124664
625	BED	Laurence G. Hanscom Field	United States	42.46317	-71.29119
650	BFD	Bradford Regional Airport	United States	41.801502	-78.63955
652	BFF	Western Nebraska Regional Airport 	United States	41.873547	-103.595024
655	BFI	Boeing Field/King County International Airport	United States	47.528164	-122.30183
658	BFL	Meadows Field Airport	United States	35.43291	-119.05662
683	BGM	Greater Binghamton Airport 	United States	42.208107	-75.98206
688	BGR	Bangor International Airport	United States	44.806927	-68.82327
697	BHB	Hancock County-Bar Harbor Airport	United States	44.4451	-68.36213
707	BHM	Birmingham–Shuttlesworth International Airport	United States	33.562428	-86.75413
723	BID	Block Island State Airport	United States	41.169292	-71.58013
727	BIH	Eastern Sierra Regional Airport	United States	37.372807	-118.36391
731	BIL	Billings Logan International Airport	United States	45.80351	-108.53791
738	BIS	Bismarck Municipal Airport	United States	46.77519	-100.75725
754	BJI	Bemidji Regional Airport	United States	47.509243	-94.93291
774	BKC	Buckland Airport 	United States	65.98141	-161.14917
778	BKG	Branson Airport 	United States	36.538544	-93.19907
783	BKL	Cleveland Burke Lakefront Airport	United States	41.51157	-81.68992
793	BKW	Raleigh County Memorial Airport	United States	37.791668	-81.12345
800	BLD	Boulder City Municipal Airport 	United States	35.94792	-114.85625
818	BLV	MidAmerica St. Louis Airport / Scott Air Force Base	United States	38.5492	-89.82164
830	BMI	Central Illinois Regional Airport	United States	40.47621	-88.91548
848	BNA	Nashville International Airport	United States	36.126316	-86.67737
879	BOI	Boise Air Terminal 	United States	43.565823	-116.22231
888	BOS	Logan International Airport	United States	42.365612	-71.00956
909	BPT	Jack Brooks Regional Airport	United States	29.955847	-94.02207
919	BQK	Brunswick Golden Isles Airport	United States	31.254833	-81.46691
921	BQN	Rafael Hernández Airport	United States	18.495396	-67.135574
932	BRD	Brainerd Lakes Regional Airport	United States	46.393047	-94.141266
938	BRL	Southeast Iowa Regional Airport	United States	40.7815	-91.12
941	BRO	Brownsville/South Padre Island International Airport	United States	25.906326	-97.42699
949	BRW	Wiley Post–Will Rogers Memorial Airport	United States	71.28491	-156.76636
984	BTI	Barter Island LRRS Airport	United States	70.11312	-143.65268
988	BTM	Bert Mooney Airport	United States	45.954838	-112.507545
993	BTR	Baton Rouge Metropolitan Airport 	United States	30.53236	-91.15146
995	BTT	Bettles Airport	United States	66.91929	-151.51907
997	BTV	Burlington International Airport	United States	44.470695	-73.1516
1006	BUF	Buffalo Niagara International Airport	United States	42.939705	-78.72951
1018	BUR	Bob Hope Airport	United States	34.19831	-118.35741
1056	BWI	Baltimore/Washington International Thurgood Marshall Airport	United States	39.177402	-76.668396
1127	BZN	Bozeman Yellowstone International Airport 	United States	45.775135	-111.16135
1140	CAE	Columbia Metropolitan Airport	United States	33.941917	-81.122
1146	CAK	Akron-Canton Airport	United States	40.91538	-81.44189
